link,image,price,sold,name
https://shopee.co.th/เซตคู่ชวนแซ่บ-ลูกชิ้นบุ๊กโกะ-ลูกชิ้นปลามันดูน้ำแตก-น้ำแตกซีฟู้ดส์-i.326151615.9070505164?sp_atk=62c380dc-ba8a-4e5b-851f-14c5f27f66a5&xptdk=62c380dc-ba8a-4e5b-851f-14c5f27f66a5,https://cf.shopee.co.th/file/d470c52ae9faa2169576cad586e6b11d_tn,฿230 - ฿400,ขายแล้ว 697 ชิ้น,"['เซต', 'คู่', 'ชวน', 'แซ่บ', ' ', ':', ' ', 'ลูกชิ้น', 'บุ๊ก', 'โกะ', ' ', 'ลูกชิ้น', 'ปลา', 'มัน', 'ดู', 'น้ำ', 'แตก', ' ', '+', ' ', 'น้ำ', 'แตก', 'ซี', 'ฟู้ด', 'ส์']"
https://shopee.co.th/โอเด้งปลา-(ออมุก)ลูกชิ้นปลาแผ่น-แท่ง-1KG-어묵-i.927241.1505169611?sp_atk=1e37bdaf-411c-4052-9d74-c4cbbcaf5480&xptdk=1e37bdaf-411c-4052-9d74-c4cbbcaf5480,https://cf.shopee.co.th/file/7a393db5613dfbdd1a7349e47146db7e_tn,฿79 - ฿320,ขายแล้ว 8.7พัน ชิ้น,"['โอ', 'เด้ง', 'ปลา', ' ', '(ออ', 'มุก', ')', 'ลูกชิ้น', 'ปลา', 'แผ่น', '/', 'แท่ง', ' ', '1', 'KG', ' ', '어묵']"
https://shopee.co.th/ไส้กรอกเจ-มินิคอกเทลเจ-อาหารเจ-ลูกชิ้นเจ-ลูกชิ้นเห็ดหอมเจ-ปลาเส้น-ปลาสามเหลี่ยม-ปูอัด-ทอดมันเจ-อิ่มบุญ-สุขกาย-ใจสะอาด.-i.121169076.4447303120?sp_atk=ccfd2f3d-589b-4b0f-8a50-e32839603b3c&xptdk=ccfd2f3d-589b-4b0f-8a50-e32839603b3c,https://cf.shopee.co.th/file/f2f605c41fc0a13fe886fdaca0c72f4a_tn,฿99 - ฿195,ขายแล้ว 1พัน ชิ้น,"['ไส้กรอก', 'เจ', ' ', 'มินิ', 'คอก', 'เท', 'ล', 'เจ', ' ', 'อาหารเจ', ' ', 'ลูกชิ้น', 'เจ', ' ', 'ลูกชิ้น', 'เห็ด', 'หอม', 'เจ', ' ', 'ปลา', 'เส้น', ' ', 'ปลา', 'สามเหลี่ยม', ' ', 'ปูอัด', ' ', 'ทอดมัน', 'เจ', ' ', 'อิ่ม', 'บุญ', ' ', 'สุขกาย', ' ', 'ใจ', 'สะอาด', '.']"
https://shopee.co.th/ลูกชิ้นปลาระเบิด-1-โล-ส่งตรงจากโรงงาน-i.101301368.20617132107?sp_atk=ca840e57-4b87-4187-9252-a9502c5b2422&xptdk=ca840e57-4b87-4187-9252-a9502c5b2422,https://cf.shopee.co.th/file/da60ece68db750daaca8815bd7a6b7d8_tn,฿65,ขายแล้ว 107 ชิ้น,"['ลูกชิ้น', 'ปลา', 'ระเบิด', ' ', '1', ' ', 'โล', ' ', 'ส่ง', 'ตรง', 'จาก', 'โรงงาน']"
https://shopee.co.th/ลูกชิ้นเอ็นเนื้อวัว🐄โกเด้ง⭐ส่งทุกวัน☀️(1กิโลกรัม)-i.252133172.4194342765?sp_atk=5cc0004a-0511-46b7-bea6-003e5dfac033&xptdk=5cc0004a-0511-46b7-bea6-003e5dfac033,https://cf.shopee.co.th/file/3f0addc2586d5af94d2d8924ac2ad477_tn,฿270,ขายแล้ว 250 ชิ้น,"['ลูกชิ้น', 'เอ็น', 'เนื้อวัว', '🐄', 'โก', 'เด้ง', '⭐', 'ส่ง', 'ทุกวัน', '☀️(', '1', 'กิโลกรัม', ')']"
https://shopee.co.th/น้ำจิ้มลูกชิ้น-น้ำจิ้มไส้กรอก-น้ำจิ้มไก่ทอด-ตราณัฐพล-i.38444368.6329274054?sp_atk=004c82c3-5d3c-45b8-bb92-3d8e68b06742&xptdk=004c82c3-5d3c-45b8-bb92-3d8e68b06742,https://cf.shopee.co.th/file/daf7498b8ba2e6665e636277ed82e66f_tn,฿38,ขายแล้ว 959 ชิ้น,"['น้ำจิ้ม', 'ลูกชิ้น', ' ', 'น้ำจิ้ม', 'ไส้กรอก', ' ', 'น้ำจิ้ม', 'ไก่ทอด', ' ', 'ตรา', 'ณัฐพล']"
https://shopee.co.th/ลูกชิ้นหมูโฮเด้ง500g~1kg✅-i.168367317.19809281220?sp_atk=15b07461-5a6b-4638-b126-cea45ff3cbab&xptdk=15b07461-5a6b-4638-b126-cea45ff3cbab,https://cf.shopee.co.th/file/38782005d5f560da82938fb712d15d15_tn,฿125 - ฿240,ขายแล้ว 192 ชิ้น,"['ลูกชิ้น', 'หมู', 'โฮ', 'เด้ง', '500', 'g', '~', '1', 'kg', '✅']"
https://shopee.co.th/ลูกชิ้นปลาทอด-ตรา5ดาว-i.58245539.19813263033?sp_atk=e6bfa99b-a2e2-4191-a7ec-122ac7f378c4&xptdk=e6bfa99b-a2e2-4191-a7ec-122ac7f378c4,https://cf.shopee.co.th/file/ccd0bc92f665476d01d62515e508a34f_tn,฿89,ขายแล้ว 54 ชิ้น,"['ลูกชิ้น', 'ปลา', 'ทอด', ' ', 'ตรา', '5', 'ดาว']"
https://shopee.co.th/เซต-ลูกชิ้นหมู-ลูกชิ้นไก่-อาหารสำหรับเด็ก-Happy-Munchy-(6แพค)-i.80218296.4450740001?sp_atk=c6050fa5-0ce7-44b2-84d1-00811d5db7be&xptdk=c6050fa5-0ce7-44b2-84d1-00811d5db7be,https://cf.shopee.co.th/file/151be115d82c38a54fe5154680e91b07_tn,฿690,ขายแล้ว 38 ชิ้น,"['เซต', ' ', 'ลูกชิ้น', 'หมู', '/', 'ลูกชิ้น', 'ไก่', ' ', 'อาหาร', 'สำหรับ', 'เด็ก', '  ', 'Happy', ' ', 'Munchy', ' ', '(', '6', 'แพ', 'ค)']"
https://shopee.co.th/🔥❌ส่งเร็ววันเดียวได้❌🔥-ลูกชิ้นหมูปอง-ลูกชิ้นหมูลูกกลาง-ลูกชิ้นหมูสามตัว-ตราพีเจพี-500-กรัม-i.38444368.4529918377?sp_atk=e776dd14-e099-470f-9ff1-5f41f89f32aa&xptdk=e776dd14-e099-470f-9ff1-5f41f89f32aa,https://cf.shopee.co.th/file/68b514b69abe941a2e8bed5487247dca_tn,฿75,ขายแล้ว 314 ชิ้น,"['🔥❌', 'ส่ง', 'เร็ว', 'วัน', 'เดียว', 'ได้', '❌🔥', '  ', 'ลูกชิ้น', 'หมู', 'ปอง', ' ', 'ลูกชิ้น', 'หมู', 'ลูก', 'กลาง', ' ', 'ลูกชิ้น', 'หมู', 'สาม', 'ตัว', ' ', 'ตรา', 'พี', 'เจ', 'พี', ' ', '500', ' ', 'กรัม']"
